Post Time,Post Title
2025-05-03 20:46:20,Spain’s Power Crisis Shakes Investor Confidence: Goldman Sachs Warns of “Major Energy Policy Shift”
2025-05-03 10:30:07,"New research suggests the world may have reached a “tipping point,” making solar power inevitably our primary source of energy"
2025-05-03 00:52:54,"Jennifer Granholm: For Real Energy Dominance, We Need the IRA. Saying that the U.S. is striving for energy dominance except in the clean energy sector is like opening a steakhouse and forgetting the meat. What happened to “all of the above”?"
2025-05-03 00:40:38,Venezuela Desperate For China To Buy More Oil
2025-05-02 23:04:44,"Discover how solar water desalination converts salt water into drinkable water using solar energy, an eco-friendly solution to water scarcity."
2025-05-02 22:19:12,"Study: World faces choice of climate catastrophe or a 20-30-year ""energy diet"" as renewables catch up to demand"
2025-05-02 21:11:17,Energy summits
2025-05-02 20:40:58,Argentina Confirms $7 Billion LNG Export Project with Two Floating Terminals by 2028
2025-05-02 16:03:12,"From sundown to midnight, batteries were the largest source of energy on the CA grid"
2025-05-02 13:40:33,Oil and gas policies India
2025-05-02 11:11:17,"Change your energy, change your life"
2025-05-02 10:53:14,Ohio Supreme Court decision allows solar company to build $350 million energy farm in northwestern Licking County
2025-05-02 06:53:34,Woodside Energy approves $17.5 billion Louisiana LNG project
2025-05-02 04:09:11,Reversible heat pump thermal energy storage for solar
2025-05-01 21:26:48,"Trump’s War on Clean Energy Already Destroyed or Threatened 62,000 American Jobs, With Nearly 400,000 at Risk. In just 100 days in office, Trump’s chaotic tariff and energy agenda has begun reversing two years of Biden's clean energy manufacturing boom."
2025-05-01 21:18:11,"Trump promised to slash energy prices. 100 days in, they’re up—and expected to keep rising. Experts say Trump’s energy policies—like inhibiting renewables, canceling energy assistance programs, and enacting widespread tariffs—are to blame. “self-inflicted wounds done by the new administration."""
2025-05-01 20:39:50,Equinor considers suing Trump administration over halted US windfarm
2025-05-01 19:18:15,Redeia President Defends Energy System Reliability Amid Blackout
2025-05-01 18:58:56,Trump’s Energy Secretary Baselessly Blames Spain’s Power Outage on Renewables | Scientific American
2025-05-01 16:42:04,CGD projects India
2025-05-01 13:59:36,Datasets on Energy prices needed
2025-05-01 02:48:03,"Discover how wave energy, a powerful renewable source, helps reduce dependence on traditional energy, preserve the environment, and cut emissions."
2025-05-01 00:47:09,North Carolina factories and mills cool on clean energy transition
2025-04-30 22:42:57,What's the point of renewable energy?
2025-04-30 21:11:48,"Oil industry that Trump wants to ‘drill, baby, drill’ has taken a beating since he took office. The S&P 500 energy sector has fallen more than 11% since Jan. 20, more than the broader market’s decline of nearly 8%. Executives are scathing in their criticism of Trump’s policies."
2025-04-30 19:56:17,An energy superpower? Canada's Oilpatch skeptical of Prime Minister Carney's support for the sector
2025-04-30 08:22:34,Renewable energy economics
2025-04-30 07:02:10,can trump actually kill clean energy?
2025-04-30 05:53:44,"UK: Warning RTS electricity meters in 300,000 homes could stop working"
2025-04-30 02:00:15,5 Charts to Help Make Sense of Trump’s First 100 Days
2025-04-30 00:14:59,Trump wants to kill clean energy. California legislators are about to help him
2025-04-29 22:51:15,"Green energy supporters pushed for faster permitting. Trump is doing it, but not for solar or wind, the fastest growing sources. He is using “a fake energy emergency” to strip away safeguards. “In a real emergency, you would want to be pouring electrons onto the grid from any source you could find.”"
2025-04-29 18:16:02,Spain and Portugal Blackout Sparks Energy Security Concerns Across Europe
2025-04-29 16:07:44,"Why did the lights go out in Spain and Portugal? -- ""And what does it mean for Europe, its power grids and its electricity?"""
2025-04-29 07:20:53,"New York lawmakers are moving to shut down Tesla sales across the state. Bill would strip Tesla of its right to sell directly to customers in retaliation for the Trump/Musk admin ""killing all funding for EV infrastructure, killing wind energy, killing anything that might address climate change."""
2025-04-29 06:58:36,"Trump’s efforts to split Europe and China on clean energy fall flat. At a 60 nation summit on energy security last week the Trump team argued that the world is better off embracing fossil fuels than pursuing a clean energy future. It was met with a shrug. “It was ideology versus reality."""
2025-04-29 02:44:00,Crude oil futures end week lower as market eyes potential for increased supply amid OPEC+ tiff
2025-04-29 01:21:49,"Discover how ultra-thin solar cells, thinner than paper, developed at MIT and Japan, are revolutionizing energy with flexibility and innovation."
2025-04-29 01:07:10,Energy Delusions: Peak Oil Forecasts - National Center for Energy Analytics
2025-04-29 00:11:19,Energy Resources and Our Future
2025-04-28 21:06:40,Net Zero: How Clean Energy Can Make a Greener Future
2025-04-28 19:25:27,Trump officials pressure world’s top energy agency to drop climate mission
2025-04-28 17:55:30,Blackout in whole Iberian peninsula right now
2025-04-28 07:42:10,LNG companies say they cannot comply with Trump rules on Chinese ships
2025-04-28 00:34:35,Energy transition: the end of an idea
2025-04-27 18:50:23,Discover how transparent solar panels convert sunlight into electricity while keeping natural light visible. Perfect for windows and glass facades.
2025-04-27 16:30:27,RENWEX
2025-04-27 16:03:22,"Engineers out there, Is masters in energy management worth it for petroleum engineers!?"
2025-04-27 14:37:31,Big Tech's soaring energy demands are making coal-fired power plant sites attractive
2025-04-27 00:56:27,"Renewable Energy in Europe: Progress, Innovations, and Challenges"
2025-04-25 23:49:03,"Britain will find ‘common ground’ with US on energy policy, says Miliband"
2025-04-25 20:25:04,Trump officials pressure world’s top energy agency to drop climate mission. Trump officials are attempting to block the world’s most important energy research agency from producing data that favors renewable power over fossil fuels. Irked European officials pushed back against the US pressure.
2025-04-25 20:15:12,"Chart: Trump is killing the country’s clean-energy manufacturing momentum. In the first three months of this year, firms canceled nearly $8 billion worth of US energy projects, mostly factories, in a dramatic turn from the Biden era. Trump’s attacks are taking a toll on the US manufacturing boom."
2025-04-25 09:52:11,"White House debates lifting sanctions on Russian energy assets, Nord Stream"
2025-04-25 02:27:44,‘The World Is Moving Forward’: UN Chief Says Fossil Fuel Interests and Hostile Governments Can’t Stop Clean Energy Future - EcoWatch
2025-04-24 21:01:56,"China approved equivalent of two new coal plants a week in 2022, report finds"
2025-04-24 18:34:01,Suzlon Energy Share Price Gain Despite Weak Market: Renewable Orders Fuel Momentum
2025-04-24 18:22:29,"Discover how solid-state batteries are revolutionizing energy with faster charging, improved safety, and game-changing tech breakthroughs."
2025-04-24 08:00:12,"Xi contrasts China’s clean energy promises with Trump turmoil. China will continue to push forward on the climate crisis, Xi Jinping has said. “No group or government can stop the clean energy revolution. Science is on our side, and the economics have shifted,"" said UN's Guterres at same meeting."
2025-04-24 07:03:18,Can Energy Be Free With Recycling A Prius and Panels?
2025-04-24 06:16:08,A topic in energy that is often overlooked is distributed energy as a national security priority. Would love for you to connect with me and share your thoughts on the topic in LinkedIn if this is an area of interest
2025-04-24 02:44:59,green energy debate
2025-04-24 02:44:34,Green Energy debate
2025-04-24 02:33:36,Why can't (kinetic) energy produced from magnets be stored and utilized for larger applications?
2025-04-24 02:22:12,MN Senate energy bill could dial back landmark climate policies
2025-04-23 21:02:01,"Choosing the right energy supplier isn’t just about cost, it is about support, savings, and sustainability. ⚡ Switch smart, save smarter, and power up your business potential."
2025-04-23 14:41:04,Realistic roles for hydrogen in the future energy transition
2025-04-23 13:26:27,"Green hydrogen is a clean, sustainable energy source. Learn about its production, benefits, cost, and future applications in the energy industry."
2025-04-23 04:15:22,Bass Energy
2025-04-23 04:14:59,"More British households struggling with bills will resort to energy theft, campaigners say"
2025-04-23 02:43:50,"Webinar Power & Gas - Tariffs, Ukraine-Russia talks"
2025-04-22 23:31:10,"US to impose tariffs of up to 3,521% on south-east Asia solar panels | Energy industry"
2025-04-22 23:25:20,Trump Energy secretary: Clean energy tax credits a 'big mistake'
2025-04-22 22:41:05,Could Honda's Fuel-Cell System Find a Home in Space?
2025-04-22 15:57:43,Happy Earth Day. There isn’t a better time to think about switching to Clean Energy…link attached.
2025-04-22 14:42:46,"Discover efficient residential heating and cooling systems, smart thermostats, and duct sealing tips to enhance comfort and reduce energy costs."
2025-04-22 12:28:45,‘Honest folk are paying for this’: the fight against Britain’s billion-pound energy heist
2025-04-22 10:21:16,10 charts prove that clean energy is winning — even in the Trump era
2025-04-22 00:10:58,"These 26 Republicans support preserving IRA energy credits. There are still ways for businesses to lobby for the preservation of IRA credits. Here are all 26 representatives, their contact information, and a link to the public statement they made."
2025-04-21 22:53:48,"I designed a zonal system for India to manage both energy and economic redistribution — independently, yet in sync"
2025-04-21 21:49:44,A record low for total load on New England grid thanks to rooftop solar
2025-04-21 21:44:33,"Trump’s policies could give China the lead in global energy race, say experts. Trump’s trade war rattles oil producers and Beijing extends its cleantech lead while he moves to kill Biden's drive to build a domestic cleantech industry to compete with China. “It will be hard for the US to catch up."""
2025-04-21 21:04:03,Wave Energy Capture as simple as riding a Bicycle
2025-04-21 20:30:44,No Trump Needed—Wind Just Blew It
2025-04-21 19:14:40,Trump tariffs push Asian trade partners to weigh investing in massive Alaska energy project
2025-04-21 17:55:11,Wind energy: expansion rate has increased significantly at the start of 2025
2025-04-21 17:44:06,Would you use an app that helps cut your energy bills without installing any hardware?
2025-04-21 14:44:28,China’s Coal Generation Dropped 5% YOY In Q1 As Electricity Demand Increased
2025-04-21 14:12:32,Why the UK’s electricity costs are so high – and what can be done about it
2025-04-21 04:34:50,"Explore clean energy technology, advanced storage, and sustainable solutions shaping a greener future and driving global economic growth."
2025-04-21 03:08:53,Is there not enough material to fully transition to complete carbon neutral energy?
2025-04-21 02:55:52,Tories and Reform use the steel crisis to knock clean energy. They’re wrong: it will secure all our futures | Ed Miliband
2025-04-21 01:12:12,Lawmakers propose revolutionary use for old oil wells — here's what it could mean for the energy sector
2025-04-20 18:40:47,"For those working in the energy sector, what are some areas where software could potentially help, but is lacking? (recently graduated with an engineering PhD in energy storage modelling and looking for some problems to contribute to)"
2025-04-20 16:49:02,Hydrographic Surveying of Sea Waves for Wave Energy Converters
2025-04-20 03:03:39,"Explore top wind turbine types vertical, horizontal, marine for efficient energy harvesting based on wind speed, location & cost."
2025-04-19 23:02:47,Using liquid air for grid-scale energy storage
2025-04-19 21:05:56,"Trump’s war on clean energy just killed $6B in red state projects. Thanks to Trump 16 new large-scale factories and other projects were cancelled, closed, or downsized. Republican districts have reaped the biggest rewards from Biden's energy policies, but are also taking the biggest hits from Trump."
2025-04-19 20:59:04,Disadvantages of renewable energy source
2025-04-19 13:53:42,China stops buying liquefied natural gas from the US
2025-04-19 11:33:37,Breakthrough technology harnesses clean energy from falling rainwater
2025-04-19 05:24:55,"Trump Tariffs Are Already Threatening America’s ‘Golden Era’ of Oil. Energy Secretary Wright warned that the oil industry faces ""storm clouds on the horizon"" amid Trump's tariff blitz. It's a far cry from the ""golden era of American energy dominance"" that Wright promised shortly after taking office."
2025-04-18 19:15:37,China energy and emissions trends: April 2025 snapshot – Centre for Research on Energy and Clean Air
2025-04-18 18:00:20,"Trump has left Strategic Petroleum Reserve nearly half-empty, despite dip in oil prices and GOP outcry when Biden tapped it"
2025-04-18 14:35:49,"Discover how ground source heat pumps work, their costs, benefits, and efficiency to reduce energy use and support a low carbon lifestyle."
2025-04-18 12:10:37,Big election energy: power debate relentlessly drives Hunter region’s politics
2025-04-18 03:05:19,"""Analysis of the State of the War in Ukraine"""
2025-04-18 02:23:35,STOP THERMAL ENERGY DRILLING
2025-04-18 00:31:04,It’s a common urban myth/media trope that fossil fuel companies buy up and cover alternative energy sources is that based in truth?
2025-04-17 22:36:58,"Britain braces for a Trump hand grenade at London energy summit. The U.K. wants to use an energy security summit next week to showcase its net zero push. Trump’s America just wants to sell fossil fuels. Trump sees the clean energy drive as a strategic threat that empowers its great rival, China."
2025-04-17 22:24:11,"Judge rules against Trump admin after it couldn’t find evidence of fraud in Biden clean energy program. A federal judge ruled against the administration, unfreezing roughly $20 billion in funding. “Here we are, weeks in, and you’re still unable to proffer me any evidence with regard to malfeasance."""
2025-04-17 21:01:51,"Opinion: We need targeted policies, not blunt tariffs, to drive “American energy dominance”"
2025-04-17 20:10:13,The hidden climate costs of exporting U.S. liquefied natural gas
2025-04-17 19:50:37,Paving the way towards a sustainable future or lagging behind? An ex-post analysis of the International Energy Agency's World Energy Outlook
2025-04-17 19:11:55,"Lower electricity prices in Germany spearhead drop in overall energy prices, French electricity pricing up"
2025-04-17 14:35:39,"China's breakthrough in thorium energy and a clean, sustainable solution for the future, reducing reliance on fuels and transforming global energy."
2025-04-17 11:04:47,Judge Orders Federal Agencies to Spend Billions on Infrastructure and Energy
2025-04-17 02:14:31,The smell of toasted rock could spell victory for geothermal energy
2025-04-16 23:00:59,How an Energy Ceasefire Might Help Ukraine
2025-04-16 22:32:54,"Trump energy secretary’s company plunge is a warning for US oil production. Liberty Energy has tumbled 43% this year. All is not well in America’s shale patch. US oil production could stall, or even decline this year, for the first time since the pandemic. US shale is on the brink of major cutbacks."
2025-04-16 21:52:59,"Dozens of employees leaving US EIA, putting crucial energy data at risk, sources say"
2025-04-16 21:51:15,Customers could end up paying for data centers' energy costs in the absence of reform: Experts
2025-04-16 19:35:22,Survey:SDG in your organization
2025-04-16 17:56:40,California battery facility fire raises concerns over energy storage plant regulation
2025-04-16 09:42:42,Renewable and Low-Carbon Sources Accounted for Over 40% of Global Electricity Production in 2024: Report - EcoWatch
2025-04-16 01:32:29,"Keeping cleantech investment alive: With technological, economic and policy challenges mounting, how can we keep energy innovation on track?"
2025-04-16 00:06:10,Another great place to start your education on Hydrogen power.
2025-04-15 22:55:07,"Energy transition creates a race for strategic minerals with 5,000 applications in the Amazon"
2025-04-15 22:21:08,"New Modeling: Unclogging PJM's interconnection queue could save customers $505 per year on energy bills, cut 825 million in carbon pollution"
2025-04-15 21:36:55,Could we use hydrogen to store electricity?
2025-04-15 21:17:57,Back to Russian gas? Trump-wary EU has energy security dilemma. US LNG helped plug the Russian supply gap in Europe during the energy crisis. But since then Trump has rocked relations with Europe by turning to energy as a bargaining chip. Reliance on the US has become a vulnerability.
2025-04-15 21:10:27,"Oil sputters in Trump’s race to ‘energy dominance’. Oil prices are at a four-year low, but it’s not because the US is drilling, baby, drilling. Trump’s escalating trade war is battering the oil industry. Market analysts are now forecasting that oil production growth could slow considerably this year"
2025-04-15 20:29:36,Career crises
2025-04-15 15:27:22,Wind Farms and wind power stations are revolutionizing clean energy with turbines on land or at sea to produce electricity.
2025-04-15 07:48:38,European Students: Win $1M+ in Prizes for Your Deep-Tech Idea at LKYGBPC 2025!
2025-04-15 07:19:31,Wall Outlet Battery?
2025-04-15 04:30:48,Searching for a book to study hydrogen and its contents
2025-04-15 01:38:48,AI’s Carbon Conundrum. The technology that could save the planet might also help burn it
2025-04-14 20:40:08,Intraday power trader
2025-04-14 18:06:33,"clean energy solutions that boost efficiency, support sustainability, and drive innovation for businesses and the environment."
2025-04-14 09:28:50,HR 2596 - Renewable Natural Gas Incentive Act of 2025
2025-04-13 22:23:52,"Discover how energy independence boosts security, cuts costs, and promotes renewables. Learn strategies to reduce fossil fuel reliance."
2025-04-13 21:55:05,Started a weekly energy markets newsletter!
2025-04-12 22:16:01,Different approach to energy storage.
2025-04-12 20:26:35,"Grid-tied Solar System
Discover the benefits, costs, and key features of grid-tied solar systems and how they connect with the main electricity network efficiently."
2025-04-12 08:56:59,This Professor at the Sydney Smart Energy Conference talking about how to make the envorinment cleaner from his studies in Los Angeles
2025-04-12 07:40:12,"Ukraine’s Dangerous Illusion of New Nuclear Energy Nuclear plants are prime targets in wartime Ukraine. Renewables are safer, cheaper—and already on the rise."
2025-04-12 02:41:22,Advice needed: What energy-tech product should we build that fits India’s ground reality and helps us scale sustainably?
2025-04-12 02:23:57,Türkiye: wind and solar power surpasses coal
2025-04-12 00:13:55,"Canada’s Energy Security Depends on Political Coordination, Not Power Lines: Lourie"
2025-04-11 22:40:59,"Discover how inverter systems convert solar energy into usable power, improve efficiency, and support off-grid and sustainable living solutions."
2025-04-11 17:18:41,"Texas energy company wins first-of-its-kind permit to suck carbon out of air, store underground"
2025-04-11 14:08:52,China Halts US LNG Imports as Trade War Reroutes Deliveries
2025-04-11 06:20:14,It’s Time To Liberate American Energy From Climate Dogma
2025-04-11 04:46:19,"Will US Tariffs Make World Leaders Value the Stability of Renewables? “The world runs on imported fossil fuels under the umbrella of the Pax Americana. As Trump destabilizes that, then people will look to their own domestic energy sources, which in most cases means renewables and electrification.”"
2025-04-11 04:36:51,Water turbine
2025-04-11 04:23:32,Tariffs Can’t Stop China’s Clean Energy From Winning the Future. The real action fighting climate change is happening in China. The US—especially with Trump back in office—remains at risk of getting left in the dust as the rest of the world abandons fossil fuels for a brighter future.
2025-04-10 22:41:41,Why Is My Energy Bill Going Up?
2025-04-10 22:13:28,"Discover how photovoltaic cells work, their benefits, materials, and role in clean energy, solar tech shaping a sustainable future."
2025-04-10 20:31:47,A New Michigan Law Countering Local Opposition to Renewable Energy Is Triggering More of the Same
2025-04-10 20:20:53,The Keystone oil pipeline’s shut down could lead to higher gas prices at the pump—and cause ripple effects for groceries
2025-04-10 18:44:51,Home pump and dump geothermal coupled to hydroelectric generator?
2025-04-10 03:11:02,Protecting American Energy From State Overreach
2025-04-09 23:15:29,First Supercritical CO2 Circuit Breaker Debuts
2025-04-09 21:21:25,The New Energy Frontline: Nukes
2025-04-09 19:57:56,"Trump Wants To Revive Coal. The Energy Sector Has Moved On. No new coal plants have been built in the U.S. for more than 10 years. Trump said Wednesday that would change, but didn't say how. ""That's simply not the world we live in."" ""The Trump administration is stuck in the past."""
2025-04-09 19:43:06,"Wood Mackenzie Cuts 5-year US Wind Energy Outlook 40% on Trump Policies. ""We're not going to do the wind thing. Big, ugly wind mills. They ruin your neighborhood."" Former President Biden saw wind power as vital to decarbonizing the US power sector."
2025-04-09 19:35:26,"Clean energy powered 40% of global electricity in 2024, report finds"
2025-04-09 07:55:17,Clariant’s MegaMax 900 catalyst: Powerful start at European Energy’s e-methanol plant
2025-04-09 07:31:44,"Trump's tariff tantrum won't stop the global energy transition. The US share of the global cleantech trade is too marginal to dictate its terms – but the tariffs will harm the US economy and working families.Trump has exposed himself as a bully whose policies are reckless, unreliable and misguided."
2025-04-09 05:05:50,"US, Canada, Mexico, UK, Germany, France, Italy, Brazil, Argentina, Saudi Arabia and more Fuel Powerful Surge in Eco-Friendly Travel Sector with Over Eleven Trillion USD by 2032 - Travel And Tour World"
2025-04-09 05:02:23,Newly added Solar March/April
2025-04-08 23:09:09,"Discover the key advantages of solar energy, clean, cheap, unlimited power that saves money and helps the planet. Learn how to go solar today!"
2025-04-08 21:50:53,"Clean energy surges globally, but has yet to replace fossil fuels: Report"
2025-04-08 21:44:00,"Green Hydrogen For Energy Was A Story We Told Ourselves. The story was so compelling, the coalition so wide, the urgency so real, that for a time, it barely mattered that the physics didn’t cooperate. Now, in 2025, the act is ending. Major energy firms are quietly walking away."
2025-04-08 20:47:31,Global Electricity Review 2025: - World surpasses 40% clean power as renewables see record rise
2025-04-08 20:32:09,Sanctioned Russian Arctic LNG Project Awakens After Winter With Gas Flaring Visible at Both Production Lines
2025-04-08 20:17:05,Besoin de votre regard pro : je bosse sur un mémoire sur les enjeux financiers de la transition énergétique (secteur pétrole & gaz)
2025-04-08 19:14:27,Power-sector CO2 hits ‘all-time high’ in 2024 despite record growth for clean energy
2025-04-08 17:43:59,Renewable energy companies face little regulation in Texas. A state lawmaker wants to change that.
2025-04-08 11:23:32,Trump says EU must buy $350B of US energy to get tariff relief
2025-04-08 06:13:19,"Clean energy powered 40% of global electricity in 2024, report finds"
2025-04-07 23:58:52,What major to choose to enter energy sector
2025-04-07 19:06:28,U.S. crude oil falls below $60 a barrel to lowest since 2021 on tariff-fueled recession fears
2025-04-07 07:37:11,How will this affect natural gas companies
2025-04-07 04:46:46,How Tariffs Could Upend the Transition to Cleaner Energy
2025-04-07 04:39:21,How Trump’s Tariffs Could Hobble the Fastest-Growing Energy Technology
2025-04-07 03:34:10,Trump Promised to Lower Energy Prices—but It Wasn’t Supposed to Be Like This
2025-04-07 00:56:47,"Discover how the clean energy transition is shaping a greener future through innovation, policy, and global cooperation toward sustainability."
2025-04-06 21:08:52,‘Deeply incoherent’: Trump’s Tariffs Are Colliding with Trump’s Energy Agenda. Virtually no part of the U.S. energy and electricity industries will be able to avoid cost increases and significantly longer timelines induced by the new tariffs.
2025-04-06 12:48:03,Wind energy: How to build even better wind turbines
2025-04-06 07:28:32,"Explore sustainable energy solutions, smart planning, and innovative technologies to power your home or community with clean, renewable energy."
2025-04-06 00:55:16,"If China is the global leader in renewables, why is electricity still expensive for the average citizen?"
2025-04-05 22:18:00,Wind Energy in the Philippines Picks Up Speed in South Luzon - CleanTechnica
2025-04-05 22:10:19,Pakistan’s 22 GW Solar Shock: How a Fragile State Went Full Clean Energy
2025-04-05 20:58:38,"Trump energy secretary’s former company crushed by sell-off after Trump tariff escalation. Liberty Energy shares tumbled over 30% in just two days, as the oilfield services company founded by Chris Wright comes under heavy selling pressure. “The U.S. shale patch are not going to be happy with this.”"
2025-04-05 20:46:58,About the relatively recent panic over gas prices.
2025-04-05 06:03:58,"Discover how solar energy storage works, its benefits, top technologies, and why it’s key for using solar power day and night, all year round."
2025-04-05 05:30:23,"Germany is going big on green energy! ✨ With a €5 billion hydrogen and decarbonization subsidy, industries like steel and chemicals are set to transform, slashing emissions and driving the EU closer to climate goals."
2025-04-05 05:18:31,Terminology: hydro/wave/tidal
2025-04-05 04:54:55,Energy Department considers more than 40 percent of its staff non-essential as layoffs loom
2025-04-05 04:30:40,Egyptian biomass pellets
2025-04-05 02:28:27,Chart: Top 15 states where IRA repeal could raise energy bills
2025-04-05 02:27:14,What Trump’s tariffs mean for the renewable energy transition
2025-04-05 01:50:10,Looking for Energy Forums
2025-04-05 00:00:20,Trump promised to slash energy prices. How’s that going? Tariffs shaking up the US and global economy point in the direction of higher costs for energy and clean tech manufacturing. Shares for power companies plummeted after Trump announced higher-than-expected tariffs on US trading partners.
2025-04-04 07:31:19,"Discover the key renewable energy sources, their benefits, challenges, and future impact. Learn how solar, wind, and hydropower drive sustainability."
2025-04-04 06:36:11,This subreddit should be called energy politics. Am I wrong?
2025-04-04 04:05:35,Am I making a mistake ?
